employment_type,keywords
Full-time,"full time | full-time | full_time | permanent | unbefristet | vollzeit | temps plein | a tiempo completo | tempo pieno | indeterminado | CDI | ft | fl"
Part-time,"part time | part-time | part_time | teilzeit | temps partiel | a tiempo parcial | tempo parziale | pt"
Internship,"intern | internship | internshıp | trainee | praktik | praktikum | stage | stagiaire | tirocinio | becario"
Temporary,"temporary | contract | fixed-term | fixed term | contractor | freelance | freelancer | befristet | CDD | contrato temporal | ct"
