education_level,keywords
PhD,"phd | ph.d | doctorate | doctoral | doktor | promotion | doctorat | doctorado | dottorato | doutorado | 博士 | 박사 | докторант | докторат"
Master,"master | masters | msc | m.sc | ms | mba | diplom | magister | laurea magistrale | maestría | máster | meister | 硕士 | 석사 | магистр"
Bachelor,"bachelor | bachelors | bsc | b.sc | bs | ba | licence | licencjat | grado | laurea | kandidat | 学士 | 학사 | бакалавр"
High School,"high school | secondary school | abitur | matura | baccalauréat | bachillerato | maturità | gymnasium | lyceum | 高中 | 고등학교 | среднее образование"
