company_size,keywords
Startup,"startup | start-up | early stage | seed stage | newly founded | young company | early-phase | pre-seed | scaleup | scale-up | start up | junge firma | startende onderneming | jeune entreprise | empresa emergente | startende bedrijf | nuova impresa | empresa jovem | młoda firma"
Small,"small company | small team | small business | sme | smes | boutique | local company | family business | under 50 employees | <50 employees | petite entreprise | pequeña empresa | kleines unternehmen | kleine firma | piccola impresa | pequena empresa | mała firma | klein bedrijf"
Medium,"medium company | mid-sized | midsize | medium-sized | 50-249 employees | 100-250 employees | mittelstand | entreprise moyenne | empresa mediana | mittleres unternehmen | azienda media | empresa média | średnia firma | middelgroot bedrijf"
Large,"large company | large organization | large enterprise | multinational | international company | global company | 250+ employees | over 250 employees | >250 employees | grande entreprise | gran empresa | großes unternehmen | grande azienda | empresa grande | duża firma | groot bedrijf"
Enterprise,"enterprise | corporation | corporate | corporate group | fortune 500 | big tech | global enterprise | multinational corporation | international group | enterprise-level | groupe international | gran corporación | konzern | gruppo internazionale | corporação | międzynarodowa korporacja"
